Place_Id,Place_Name,Description,Weekend_Holiday_Price,Weekday_Price,Category,Rating_Gmaps,Address
1,Borobudur International Golf & Country Club,"Borobudur International Golf, dengan golf bintang 5 yang terdiri dari lapangan golf 18 lubang. Terletak di Magelang, Jawa Tengah, Indonesia, lanskap menawarkan jaminan kenikmatan murni & relaksasi total. Temukan klub elegan dalam suasana hangat & ramah!",1450000,750000,Minat Khusus,4.5,"Jl. Jend. Gatot Soebroto No.1, Magersari, Kec. Magelang Sel., Kota Magelang, Jawa Tengah 56122"
2,Gunung Tidar,"Bukit berhutan yang populer untuk joging, konon menjadi tempat para dewa memaku pulau Jawa ke bumi.",5000,5000,Wisata Alam,4.7,"Magersari, Kec. Magelang Sel., Kota Magelang, Jawa Tengah"
3,Kebun Bibit Senopati,"Banyak sekali tanaman bunga anggrek sampai bougenvile, tempatnya di tengah kota, dan kebersihannya sangat terjaga",0,0,Wisata Buatan,4.4,"Jl. Panembahan Senopati, Jurangombo Utara, Kec. Magelang Sel., Kota Magelang, Jawa Tengah 56123"
4,Museum Abdul Jalil,Fasilitas pendidikan Akademi Militer yang menyediakan beragam koleksi yang mempunyai peranan cukup penting dalam proses pendidikan perwira dan taruna.,0,0,Wisata Budaya,4.6,"Subroto Komplek AKMIL, Kota, Jl. Jend. Gatot Soebroto, Jurangombo Sel., Kec. Magelang Sel., Kota Magelang, Jawa Tengah 56123"
5,Museum AJB Bumi Putera,"Pameran kronik sejarah asuransi di Indonesia, melalui uang, mesin tua & dokumen.",0,0,Wisata Budaya,4.2,"Jl. Ahmad Yani Jl. Poncol No.21, Magelang, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah 56127"
6,Museum BPK RI,Tempat rujukan publik mengenai sejarah pembentukan Badan Pemeriksa Keuangan Republik Indonesia.,0,0,Wisata Budaya,4.5,"Jl. Pangeran Diponegoro No.1, Magelang, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah 56117"
7,Museum Diponegoro,Museum sekaligus monumen kediaman Pangeran ketika dikepung oleh pihak Belanda.,0,0,Wisata Budaya,4.4,"Jl. Pangeran Diponegoro, Magelang, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah 56117"
8,Museum OHD,"Museum pribadi dengan koleksi lukisan modern dan kontemporer, serta patung dan instalasi.",50000,50000,Wisata Budaya,4.6,"Jl. Jenggolo No.14, Kemirirejo, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah 56122"
9,Museum Sudirman,"Museum Sudirman merupakan rumah peristirahatan Jendral Sudirman yang terletak di Jalan Ade Irma Suryani No. C7, Kota Magelang, didalamnya masih tersimpan dipan tempat memandikan jenazah sang Jenderal Besar. Beberapa benda peninggalan yang lainnya seperti : Ranjang, kasur, seprei, kursi, almari (yang tersimpan di kamar Sudirman), dan peralatan makan.",0,0,Wisata Budaya,4.6,"Jl. Ade Irma Suryani No.C7, Potrobangsan, Kec. Magelang Utara, Kota Magelang, Jawa Tengah 56116"
10,Prasasti Mantyasih,"Prasasti Mantyasih, juga disebut Prasasti Balitung atau Prasasti Tembaga Kedu, adalah prasasti berangka tahun 907 M yang berasal dari Wangsa Sanjaya, kerajaan Mataram Kuno. Prasasti ini ditemukan di kampung Mateseh, Magelang Utara, Jawa Tengah dan memuat daftar silsilah raja-raja Mataram sebelum Raja Balitung.",25000,20000,Wisata Budaya,4.6,"Jl. Alibasah Sentot No.751, Magelang, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah 56117"
11,Taman Kyai Langgeng,"Taman hiburan besar dengan wahana, zona air, hewan, & taman botani, ditambah restoran.",30000,24000,Wisata Buatan,4.3,"Jl. Cemp. No.6, Kemirirejo, Kec. Magelang Tengah, Kota Magelang, Jawa Tengah 56122"
12,Air Terjun Curug Silawe,Curug Silawe merupakan sebuah destinasi wisata berbasis alam dengan panorama air terjun dan pemandangan sekitar yang mempesona. Air terjun dengan ketinggian sekitar 60 meter ini menjadi hidangan utama bagi siapapun yang berkunjung ke Curug Silawe Magelang.,6000,6000,Wisata Alam,4.2,"Area Sawah, Sutopati, Kec. Kajoran, Kabupaten Magelang, Jawa Tengah 56163"
13,Air Terjun Kedungkayang,"Air Terjun Kedung Kayang adalah air terjun, curug, atau coban yang sumber mata airnya berasal dari aliran sungai",5000,5000,Wisata Alam,4.5,"Desa Wonolelo kedung kayang, Nagrong, Wonolelo, Kec. Sawangan, Kabupaten Magelang, Jawa Tengah 56411"
14,Air Terjun Sekarlangit,"Air Terjun Sekar Langit memiliki ketinggian air mencapai 25 meter dari permukaan telaga. Airnya tidak pernah mengering sehingga mengalir di tiap musim. Kondisi di sekitar air terjun yang berada di lereng Gunung Telomoyo, berbatasan dengan wilayah Kabupaten Semarang dan Kota Salatiga ini, masih terlihat alami.",5000,5000,Wisata Alam,4.3,"Tlogorejo, Kec. Grabag, Kabupaten Magelang, Jawa Tengah 56196"
15,Air Terjun Sumuran Seloprojo,Air terjun ini bisa mengaliri sawah dan perkebunan yang ada di Desa Seloprojo.,6000,6000,Wisata Alam,4.4,"Seloprojo, Kec. Ngablak, Kabupaten Magelang, Jawa Tengah 56194"
16,Arung Jeram Sungai Elo,Rafting sungai elo merupakan destinasi wisata yang cocok bagi anda yang sedang berlibur di Magelang atau pun Jogja.,750000,750000,Minat Khusus,4.6,"Jl. Sendangsono No.KM. 0.2, Kanden, Progowati, Kec. Mungkid, Kabupaten Magelang, Jawa Tengah 56512"
17,Bukit Barede,Tempat observasi dari kayu ini menawarkan pemandangan pedesaan di sekitar yang indah.,10000,10000,Wisata Alam,4.2,"Sendaren 2, Karangrejo, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
18,Bukit Grenden,Wisata Bukit Grenden Magelang merupakan destinasi wisata baru dengan memiliki konsep kekinian yang rekomended untuk dikunjungi di Magelang,5000,5000,Wisata Alam,4.1,"Pakis-Ngablak, Kuwiden, Pakis, Kec. Pakis, Kabupaten Magelang, Jawa Tengah 56193"
19,Bukit Rhema,"Tempat ibadah besar dengan 7 lantai dan berbentuk burung, yang dijuluki ""Gereja Ayam"" & menawarkan tur.",0,0,Wisata Buatan,4.8,"Karangrejo Gombong, Kurahan, Kembanglimus, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah 56553"
20,Candi Asu,"Candi Asu adalah nama sebuah candi peninggalan budaya Hindu yang terletak di Desa Sengi, Kecamatan Dukun, Kabupaten Magelang, Provinsi Jawa Tengah. Nama candi tersebut diberikan oleh masyarakat setempat karena arca lembu Nandi yang ada di kompleks candi menyerupai anjing.",3000,3000,Wisata Budaya,4.3,"Candi Pos Sengi, Dukuhan, Ngampel, Kec. Dukun, Kabupaten Magelang, Jawa Tengah 56482"
21,Candi Borobudur,"Candi Borobudur adalah sebuah candi Buddha yang terletak di Borobudur, Magelang, Jawa Tengah, Indonesia. Candi ini terletak kurang lebih 100 km di sebelah barat daya Semarang, 86 km di sebelah barat Surakarta, dan 40 km di sebelah barat laut",50000,50000,Wisata Budaya,4.7,"Jl. Badrawati, Kw. Candi Borobudur, Borobudur, Kec. Borobudur, Kabupaten Magelang, Jawa Tengah"
22,Candi Gunung Wukir,Candi Gunung Wukir memiliki sebuah candi induk yang menghadap ke arah timur dengan tiga candi perwara. Satu candi perwara yang menghadap persis candi induk berisi arca Nandi yang merupakan tunggangan Siwa. Sementara di kiri kanannya diduga berisi arca angsa (tunggangan Brahma) dan arca garuda (tunggangan Vishnu).,5000,5000,Wisata Buatan,4.4,"Canggal, Kadiluwih, Salam, Area Kebun, Kadiluwih, Kec. Salam, Kabupaten Magelang, Jawa Tengah 56484"
23,Candi Gunungsari,Candi Gunungsari adalah candi peninggalan abad ke 6 sampai abad ke-8. Secara otomatis diduga candi ini berusia lebih jauh daripada candi Borobudur atau juga candi Prambanan. Oleh karena itu akan sangat disayangkan jika bertandang ke Magelang tidak menengok sesepuh candi dari berbagai candi yang tersebar ini yakni Candi Gunungsari.,5000,5000,Wisata Budaya,4.3,"Gunungsari, Gulon, Salam, Kuncen, Seloboro, Kec. Salam, Kabupaten Magelang, Jawa Tengah 56484"
24,Candi Losari,Candi Losari merupakan sebuah kompleks candi agama Hindu yang terdiri dari sebuah candi induk yang menghadap ke arah timur dengan tiga buah candi perwara yang masing–masing menghadap ke arah barat.,15000,10000,Wisata Budaya,4.2,"Jl. Losari, Losari, Salam, Kec. Salam, Kabupaten Magelang, Jawa Tengah 56484"
25,Candi Lumbung Sengi,"Candi ini terletak berdekatan dengan dua candi lain, yaitu Candi Pendem dan Candi Asu. Ketiga candi sering disebut dengan Candi-candi Sengi.",40000,40000,Wisata Budaya,4.5,"Jl. Blabak - Boyolali Tlatar, Krogowanan, Kec. Sawangan, Kabupaten Magelang, Jawa Tengah 56481"
